[2026-09-18T13:12:44.830Z] GET https://www.google.com/maps/search/VIPS+Gran+V%C3%ADa+Madrid/@40.4199,-3.7055,16z?hl=en&gl=us → 302 (226ms, 414B)
[2026-09-18T13:12:45.056Z] GET https://consent.google.com/m?continue=https://www.google.com/maps/search/VIPS%2BGran%2BV%25C3%25ADa%2BMadrid/@40.4199,-3.7055,16z?hl%3Den%26gl%3Dus&gl=ES&m=0&pc=m&uxe=eomtm&cm=2&hl=en&src=1 → 200 (184ms, 71189B)
[2026-09-18T13:12:45.336Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/am=AQAAAACZ/d=1/excm=_b,_tp,mainview/ed=1/dg=0/wt=2/ujg=1/rs=AOaEmlEugg6yyYNp0ZJTUTWCkRO-uXKTPw/dti=1/m=_b,_tp → pending (?ms, ?B)
[2026-09-18T13:12:45.336Z] GET https://www.gstatic.com/images/branding/googlelogo/svg/googlelogo_clr_160x56px.svg → pending (?ms, ?B)
[2026-09-18T13:12:45.442Z] GET https://www.gstatic.com/ac/cb/li_design_services_cb_v2_2_gm_grey_700.svg → 200 (48ms, 487B)
[2026-09-18T13:12:45.442Z] GET https://www.gstatic.com/ac/cb/li_warnings_cb_v2_2_gm_grey_700.svg → 200 (40ms, 706B)
[2026-09-18T13:12:45.443Z] GET https://www.gstatic.com/ac/cb/li_bar_chart_cb_v2_2_gm_grey_700.svg → 200 (48ms, 254B)
[2026-09-18T13:12:45.443Z] GET https://www.gstatic.com/ac/cb/li_insights_cb_v2_2_gm_grey_700.svg → 200 (48ms, 429B)
[2026-09-18T13:12:45.443Z] GET https://www.gstatic.com/ac/cb/li_magic_button_cb_v2_2_gm_grey_700.svg → 200 (51ms, 293B)
[2026-09-18T13:12:45.443Z] GET https://www.gstatic.com/ac/cb/li_ads_cb_v2_2_gm_grey_700.svg → 200 (53ms, 531B)
[2026-09-18T13:12:45.443Z] GET https://fonts.gstatic.com/s/googlesans/v62/4UaRrENHsxJlGDuGo1OIlJfC6l_24rlCK1Yo_Iq2vgCIhM907w.woff2 → 200 (109ms, 55289B)
[2026-09-18T13:12:45.443Z] GET https://fonts.gstatic.com/s/roboto/v48/KFO7CnqEu92Fr1ME7kSn66aGLdTylUAMa3yUBHMdazQ.woff2 → 200 (100ms, 35220B)
[2026-09-18T13:12:45.531Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/ck=boq-identity.ConsentUi.WZoy6PMptNo.L.B1.O/am=AQAAAACZ/d=1/exm=_b,_tp/excm=_b,_tp,mainview/ed=1/wt=2/ujg=1/rs=AOaEmlFdAT6BNsHRWqy9VJIC-CfYoTKplA/ee=BcQPH:lOY4De;EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SMDL4c:fTfGO;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;VlRiDf:j7ZRif;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;j9c1Cc:xywqXb;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;oSUNyd:fTfGO;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;vNjB7d:YTxL4;wR5FRb:O1Gjze;xqZiqf:BBI74;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=ws9Tlc,O6y8ed,aW3pY,GkRiKb,e5qFLc,IZT63,YYmHzb,pw70Gc,n73qwf,UUJqVe,KUM7Z,O1Gjze,byfTOb,lsjVmc,xUdipf,ZDZcre,OTA3Ae,ZwDk9d,RyvaUb,fTfGO,m9oV,vjKJJ,y5vRwf,PrPYRd,MpJwZc,LEikZe,NwH0H,V3dDOb,cYShmd,XVMNvd,WpP9Yc,QIhFr,xQtZb,lwddkf,gychg,w9hDv,RMhBfe,qmdT9,SdcwHb,EFQ78c,Ulmmrd,A7fCU,hc6Ubd,JNoxi,BVgquf,SpsfSb,Z5uLle,BBI74,MdUzUe,zbML3c,zr1jrb,YTxL4,Uas9Hd,OgOVNe,pjICDe → 200 (31ms, 92685B)
[2026-09-18T13:12:45.533Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/ck=boq-identity.ConsentUi.WZoy6PMptNo.L.B1.O/am=AQAAAACZ/d=1/exm=A7fCU,BBI74,BVgquf,EFQ78c,GkRiKb,IZT63,JNoxi,KUM7Z,LEikZe,MdUzUe,MpJwZc,NwH0H,O1Gjze,O6y8ed,OTA3Ae,OgOVNe,PrPYRd,QIhFr,RMhBfe,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WpP9Yc,XVMNvd,YTxL4,YYmHzb,Z5uLle,ZDZcre,ZwDk9d,_b,_tp,aW3pY,byfTOb,cYShmd,e5qFLc,fTfGO,gychg,hc6Ubd,lsjVmc,lwddkf,m9oV,n73qwf,pjICDe,pw70Gc,qmdT9,vjKJJ,w9hDv,ws9Tlc,xQtZb,xUdipf,y5vRwf,zbML3c,zr1jrb/excm=_b,_tp,mainview/ed=1/wt=2/ujg=1/rs=AOaEmlFdAT6BNsHRWqy9VJIC-CfYoTKplA/ee=BcQPH:lOY4De;EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SMDL4c:fTfGO;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;VlRiDf:j7ZRif;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;j9c1Cc:xywqXb;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;oSUNyd:fTfGO;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;vNjB7d:YTxL4;wR5FRb:O1Gjze;xqZiqf:BBI74;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=fkuQ3,Ndreoc,ZvHseb,O626Fe,LBaJxb,bZ0mod,uoEu0c,w9C4d,oJz28e → 200 (140ms, 37189B)
[2026-09-18T13:12:45.672Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/ck=boq-identity.ConsentUi.WZoy6PMptNo.L.B1.O/am=AQAAAACZ/d=1/exm=A7fCU,BBI74,BVgquf,EFQ78c,GkRiKb,IZT63,JNoxi,KUM7Z,LBaJxb,LEikZe,MdUzUe,MpJwZc,Ndreoc,NwH0H,O1Gjze,O626Fe,O6y8ed,OTA3Ae,OgOVNe,PrPYRd,QIhFr,RMhBfe,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WpP9Yc,XVMNvd,YTxL4,YYmHzb,Z5uLle,ZDZcre,ZvHseb,ZwDk9d,_b,_tp,aW3pY,bZ0mod,byfTOb,cYShmd,e5qFLc,fTfGO,fkuQ3,gychg,hc6Ubd,lsjVmc,lwddkf,m9oV,n73qwf,oJz28e,pjICDe,pw70Gc,qmdT9,uoEu0c,vjKJJ,w9C4d,w9hDv,ws9Tlc,xQtZb,xUdipf,y5vRwf,zbML3c,zr1jrb/excm=_b,_tp,mainview/ed=1/wt=2/ujg=1/rs=AOaEmlFdAT6BNsHRWqy9VJIC-CfYoTKplA/ee=BcQPH:lOY4De;EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SMDL4c:fTfGO;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;VlRiDf:j7ZRif;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;j9c1Cc:xywqXb;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;oSUNyd:fTfGO;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;vNjB7d:YTxL4;wR5FRb:O1Gjze;xqZiqf:BBI74;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=p3hmRc,LvGhrf,RqjULd → 200 (6ms, 16528B)
[2026-09-18T13:12:45.672Z] GET https://www.gstatic.com/feedback/js/help/prod/service/lazy.min.js → 200 (7ms, 40483B)
[2026-09-18T13:12:45.676Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/ck=boq-identity.ConsentUi.WZoy6PMptNo.L.B1.O/am=AQAAAACZ/d=1/exm=A7fCU,BBI74,BVgquf,EFQ78c,GkRiKb,IZT63,JNoxi,KUM7Z,LBaJxb,LEikZe,LvGhrf,MdUzUe,MpJwZc,Ndreoc,NwH0H,O1Gjze,O626Fe,O6y8ed,OTA3Ae,OgOVNe,PrPYRd,QIhFr,RMhBfe,RqjULd,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WpP9Yc,XVMNvd,YTxL4,YYmHzb,Z5uLle,ZDZcre,ZvHseb,ZwDk9d,_b,_tp,aW3pY,bZ0mod,byfTOb,cYShmd,e5qFLc,fTfGO,fkuQ3,gychg,hc6Ubd,lsjVmc,lwddkf,m9oV,n73qwf,oJz28e,p3hmRc,pjICDe,pw70Gc,qmdT9,uoEu0c,vjKJJ,w9C4d,w9hDv,ws9Tlc,xQtZb,xUdipf,y5vRwf,zbML3c,zr1jrb/excm=_b,_tp,mainview/ed=1/wt=2/ujg=1/rs=AOaEmlFdAT6BNsHRWqy9VJIC-CfYoTKplA/ee=BcQPH:lOY4De;EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SMDL4c:fTfGO;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;VlRiDf:j7ZRif;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;j9c1Cc:xywqXb;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;oSUNyd:fTfGO;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;vNjB7d:YTxL4;wR5FRb:O1Gjze;xqZiqf:BBI74;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=P6sQOc → 200 (7ms, 1065B)
[2026-09-18T13:12:45.688Z] GET https://www.gstatic.com/_/mss/boq-identity/_/js/k=boq-identity.ConsentUi.en.CfpBCE2QU1E.2018.O/ck=boq-identity.ConsentUi.WZoy6PMptNo.L.B1.O/am=AQAAAACZ/d=1/exm=A7fCU,BBI74,BVgquf,EFQ78c,GkRiKb,IZT63,JNoxi,KUM7Z,LBaJxb,LEikZe,LvGhrf,MdUzUe,MpJwZc,Ndreoc,NwH0H,O1Gjze,O626Fe,O6y8ed,OTA3Ae,OgOVNe,P6sQOc,PrPYRd,QIhFr,RMhBfe,RqjULd,RyvaUb,SdcwHb,SpsfSb,UUJqVe,Uas9Hd,Ulmmrd,V3dDOb,WpP9Yc,XVMNvd,YTxL4,YYmHzb,Z5uLle,ZDZcre,ZvHseb,ZwDk9d,_b,_tp,aW3pY,bZ0mod,byfTOb,cYShmd,e5qFLc,fTfGO,fkuQ3,gychg,hc6Ubd,lsjVmc,lwddkf,m9oV,n73qwf,oJz28e,p3hmRc,pjICDe,pw70Gc,qmdT9,uoEu0c,vjKJJ,w9C4d,w9hDv,ws9Tlc,xQtZb,xUdipf,y5vRwf,zbML3c,zr1jrb/excm=_b,_tp,mainview/ed=1/wt=2/ujg=1/rs=AOaEmlFdAT6BNsHRWqy9VJIC-CfYoTKplA/ee=BcQPH:lOY4De;EVNhjf:pw70Gc;EmZ2Bf:zr1jrb;JsbNhc:Xd8iUd;K5nYTd:ZDZcre;LBgRLc:SdcwHb;Me32dd:MEeYgc;NJ1rfe:qTnoBf;NPKaK:SdcwHb;NSEoX:lazG7b;Pjplud:EEDORb;QGR0gd:Mlhmy;SMDL4c:fTfGO;SNUn3:ZwDk9d;ScI3Yc:e7Hzgb;Uvc8o:VDovNc;VlRiDf:j7ZRif;YIZmRd:A1yn5d;a56pNe:JEfCwb;cEt90b:ws9Tlc;dIoSBb:SpsfSb;dowIGb:ebZ3mb;eBAeSb:zbML3c;iFQyKf:QIhFr;j9c1Cc:xywqXb;lOO0Vd:OTA3Ae;oGtAuc:sOXFj;oSUNyd:fTfGO;pXdRYb:MdUzUe;qQEoOc:KUM7Z;qafBPd:yDVVkb;qddgKe:xQtZb;vNjB7d:YTxL4;wR5FRb:O1Gjze;xqZiqf:BBI74;yxTchf:KUM7Z;zxnPse:GkRiKb/dti=1/m=Wt6vjf,hhhU8,FCpbqb,WhJNk → 200 (10ms, 1639B)
[2026-09-18T13:12:48.704Z] POST https://consent.google.com/_/ConsentUi/browserinfo?f.sid=-6992608947801342392&bl=boq_identityfrontenduiserver_20260906.05_p0&hl=en&gl=ES&_reqid=54769&rt=j → 200 (96ms, 275B)
[2026-09-18T13:12:49.034Z] POST https://consent.google.com/save → 303 (53ms, ?B)
[2026-09-18T13:12:49.087Z] GET https://www.google.com/maps/search/VIPS+Gran+V%C3%ADa+Madrid/@40.4199,-3.7055,16z?hl=en&gl=us → 200 (171ms, 63441B)
[2026-09-18T13:12:49.316Z] GET https://www.google.com/search?tbm=map&authuser=0&hl=en&gl=us&q=VIPS+Gran+V%C3%ADa+Madrid&pb=%211sVIPS+Gran+V%C3%ADa+Madrid%214m8%211m3%211d6075.002356782205%212d-3.7055%213d40.4199%213m2%211i1024%212i768%214f13.1%217i20%2110b1%2112m60%211m5%2118b1%2130b1%2131m1%211b1%2134e1%212m4%215m1%216e2%2120e3%2139b1%216m33%2132i1%2149b1%2163m0%2166b1%2185b1%21114b1%21149b1%21206b1%21209b1%21212b1%21215b1%21216b1%21222b1%21223b1%21232b1%21234b1%21235b1%21239b1%21246b1%21253b1%21260b1%21262b1%21266b1%21270b1%21271b1%21273b1%21277b1%21280b1%21281b1%21291m0%21294b1%21302i300%21303i100%2110b1%2112b1%2113b1%2114b1%2116b1%2117m1%213e1%2120m3%215e2%216b1%2114b1%2146m1%211b0%2196b1%2199b1%2119m4%212m3%211i360%212i120%214i8%2120m57%212m2%211i203%212i100%213m2%212i4%215b1%216m6%211m2%211i86%212i86%211m2%211i408%212i240%217m33%211m3%211e1%212b0%213e3%211m3%211e2%212b1%213e2%211m3%211e2%212b0%213e3%211m3%211e8%212b0%213e3%211m3%211e10%212b0%213e3%211m3%211e10%212b1%213e2%211m3%211e10%212b0%213e4%211m3%211e9%212b1%213e2%212b1%219b0%2115m8%211m7%211m2%211m1%211e2%212m2%211i195%212i195%213i20%2122m5%211s0TitatW6CrCxi-gPpKSMuQI%217e81%2114m1%213s0TitatW6CrCxi-gPpKSMuQI%2115i9937%2124m107%211m25%2113m9%212b1%213b1%214b1%216i1%218b1%219b1%2114b1%2120b1%2125b1%2118m14%213b1%214b1%215b1%216b1%2113b1%2114b1%2117b1%2121b1%2122b1%2132b1%2133m1%211b1%2134b1%2136e2%2110m1%218e3%2111m1%213e1%2117b1%2120m2%211e3%211e6%2124b1%2125b1%2126b1%2127b1%2129b1%2130m1%212b1%2136b1%2137b1%2139m3%212m2%212i1%213i1%2143b1%2152b1%2154m1%211b1%2155b1%2156m1%211b1%2161m2%211m1%211e1%2165m5%213m4%211m3%211m2%211i224%212i298%2172m22%211m8%212b1%215b1%217b1%2112m4%211b1%212b1%214m1%211e1%214b1%218m10%211m6%214m1%211e1%214m1%211e3%214m1%211e4%213sother_user_google_review_posts__and__hotel_and_vr_partner_review_posts%216m1%211e1%219b1%2189b1%2190m2%211m1%211e2%2198m3%211b1%212b1%213b1%21103b1%21113b1%21114m3%211b1%212m1%211b1%21117b1%21122m1%211b1%21126b1%21127b1%21128m1%211b1%2126m4%212m3%211i80%212i92%214i8%2130m28%211m6%211m2%211i0%212i0%212m2%211i530%212i768%211m6%211m2%211i974%212i0%212m2%211i1024%212i768%211m6%211m2%211i0%212i0%212m2%211i1024%212i20%211m6%211m2%211i0%212i748%212m2%211i1024%212i768%2134m19%212b1%213b1%214b1%216b1%218m6%211b1%213b1%214b1%215b1%216b1%217b1%219b1%2112b1%2114b1%2120b1%2123b1%2125b1%2126b1%2131b1%2137m1%211e81%2142b1%2149m10%213b1%216m2%211b1%212b1%217m2%211e3%212b1%218b1%219b1%2110e2%2150m3%212e2%213m1%213b1%2161b1%2167m5%217b1%2110b1%2114b1%2115m1%211b0%2169i795%2177b1 → pending (?ms, ?B)
[2026-09-18T13:12:49.316Z] GET https://www.google.com/maps/_/js/k=maps.m.en.0tafmpOtY_w.2021.O/m=GfLzUe,tNOPW,cZ2KIb,Rq2f7d,omhq0,MJcXSb,WEtKm,B863O,bEpRLd,ItB2Fd,EUHafb,PwZekb,dEsJDd,iDMycd,b/am=IGQAAADCKQAQ/rt=j/d=1/rs=ACT90oGnTKBlEoF2U-POmaT6_jsP1T56LA?wli=m.ywaxAgBk9UQ.loadSv.O%3A%3Bm.sexj_8EtoLo.loadSvVtl.O%3A%3Bm.HGU-rzUvePI.mapcore.O%3A%3B → pending (?ms, ?B)
[2026-09-18T13:12:49.316Z] GET https://www.google.com/maps/_/ss/k=maps.m.V-IEtfplxwo.L.W.O/m=GfLzUe,tNOPW,cZ2KIb,Rq2f7d,omhq0,MJcXSb,WEtKm,B863O,bEpRLd,ItB2Fd,EUHafb,PwZekb,dEsJDd,iDMycd,b/am=IGQAAADCKQAQ/d=1/rs=ACT90oEcfxT67o-G92qPqX8Sf8CTALMtSQ → 200 (9ms, 44638B)
[2026-09-18T13:12:49.655Z] GET https://maps.gstatic.com/tactile/basepage/loader_beige_2x.gif → 200 (104ms, 2082B)
[2026-09-18T13:12:49.657Z] GET https://maps.gstatic.com/tactile/basepage/grid-image.png → 200 (107ms, 235B)
[2026-09-18T13:12:49.986Z] GET blob:https://www.google.com/0adaca9d-978f-4fd2-bcb3-bdabb120c6b8 → pending (?ms, ?B)
